check_time	memory	cpu
2022-11-18T15:46:06	318885888	6.0
2022-11-18T15:46:11	318894080	10.7
2022-11-18T15:46:16	249978880	7.7
2022-11-18T15:46:21	250056704	11.1
2022-11-18T15:46:26	246992896	5.3
2022-11-18T15:46:31	247013376	4.6
2022-11-18T15:46:36	246439936	7.6
2022-11-18T15:46:41	246456320	5.6
2022-11-18T15:46:46	246329344	9.8
2022-11-18T15:46:51	246353920	10.7
2022-11-18T15:46:56	246370304	9.0
2022-11-18T15:47:01	246370304	3.1
2022-11-18T15:47:06	246444032	4.4
2022-11-18T15:47:11	246444032	6.2
2022-11-18T15:47:16	246448128	10.0
2022-11-18T15:47:21	246460416	14.9
2022-11-18T15:47:26	246472704	13.2
2022-11-18T15:47:31	246484992	3.7
2022-11-18T15:47:36	246484992	5.7
2022-11-18T15:47:41	246497280	7.4
2022-11-18T15:47:46	246505472	9.2
2022-11-18T15:47:51	246505472	10.4
2022-11-18T15:47:56	246505472	15.0
2022-11-18T15:48:01	246513664	8.7
2022-11-18T15:48:06	246517760	5.2
2022-11-18T15:48:11	246517760	6.6
2022-11-18T15:48:16	246517760	6.1
2022-11-18T15:48:21	246525952	7.0
2022-11-18T15:48:26	246525952	10.3
2022-11-18T15:48:31	246525952	10.3
2022-11-18T15:48:36	246534144	14.4
2022-11-18T15:48:41	246489088	4.2
2022-11-18T15:48:46	246489088	5.7
2022-11-18T15:48:51	246489088	8.5
2022-11-18T15:48:56	246489088	8.9
2022-11-18T15:49:01	246493184	14.4
2022-11-18T15:49:06	246497280	7.3
2022-11-18T15:49:11	246501376	7.8
2022-11-18T15:49:16	246501376	7.1
2022-11-18T15:49:21	246505472	6.7
2022-11-18T15:49:26	246427648	7.0
2022-11-18T15:49:31	246509568	9.3
2022-11-18T15:49:36	246509568	13.5
2022-11-18T15:49:41	246509568	2.9
2022-11-18T15:49:46	246509568	4.2
2022-11-18T15:49:51	246509568	5.1
2022-11-18T15:49:56	246517760	6.6
2022-11-18T15:50:01	246521856	9.4
2022-11-18T15:50:06	246521856	11.2
2022-11-18T15:50:11	246521856	12.1
2022-11-18T15:50:16	246521856	12.4
2022-11-18T15:50:21	246521856	9.9
2022-11-18T15:50:26	246525952	7.3
2022-11-18T15:50:31	246534144	7.4
2022-11-18T15:50:36	246525952	10.5
2022-11-18T15:50:41	246525952	11.6
2022-11-18T15:50:46	246525952	3.5
2022-11-18T15:50:52	246525952	4.4
2022-11-18T15:50:57	246525952	6.2
2022-11-18T15:51:02	246525952	7.2
2022-11-18T15:51:07	246538240	8.7
2022-11-18T15:51:12	246538240	17.1
2022-11-18T15:51:17	246538240	8.1
2022-11-18T15:51:22	246542336	5.5
2022-11-18T15:51:27	246542336	8.7
2022-11-18T15:51:32	246542336	6.5
2022-11-18T15:51:37	246542336	9.5
2022-11-18T15:51:42	246542336	8.5
2022-11-18T15:51:47	246542336	13.3
2022-11-18T15:51:52	246542336	13.2
2022-11-18T15:51:57	246542336	3.2
2022-11-18T15:52:02	246542336	4.7
2022-11-18T15:52:07	246546432	6.2
2022-11-18T15:52:12	246546432	7.7
2022-11-18T15:52:17	246546432	10.1
2022-11-18T15:52:22	246546432	14.5
2022-11-18T15:52:27	246546432	7.8
2022-11-18T15:52:32	246546432	6.6
2022-11-18T15:52:37	246546432	8.5
2022-11-18T15:52:42	246546432	8.2
2022-11-18T15:52:47	246546432	8.5
2022-11-18T15:52:52	246554624	11.5
2022-11-18T15:52:57	246566912	9.6
2022-11-18T15:53:02	246566912	5.7
2022-11-18T15:53:07	246571008	4.4
2022-11-18T15:53:12	246571008	5.8
2022-11-18T15:53:17	246571008	8.5
2022-11-18T15:53:22	246575104	9.3
2022-11-18T15:53:27	246583296	12.5
2022-11-18T15:53:32	246583296	4.3
2022-11-18T15:53:37	246583296	5.7
2022-11-18T15:53:42	246591488	9.2
2022-11-18T15:53:47	246591488	8.2
2022-11-18T15:53:52	246591488	8.7
2022-11-18T15:53:57	246591488	9.9
2022-11-18T15:54:02	246423552	7.2
2022-11-18T15:54:07	246345728	5.9
2022-11-18T15:54:12	246345728	4.7
2022-11-18T15:54:17	246345728	5.0
2022-11-18T15:54:22	246370304	7.6
2022-11-18T15:54:27	246390784	10.5
2022-11-18T15:54:32	246390784	13.0
2022-11-18T15:54:37	246394880	6.5
2022-11-18T15:54:42	246394880	7.2
2022-11-18T15:54:47	246394880	6.0
2022-11-18T15:54:52	246394880	7.7
2022-11-18T15:54:57	246398976	8.1
2022-11-18T15:55:02	246398976	7.1
2022-11-18T15:55:07	246263808	8.1
2022-11-18T15:55:12	246276096	8.5
2022-11-18T15:55:17	246296576	6.3
2022-11-18T15:55:22	246304768	1.3
2022-11-18T15:55:27	246341632	1.8
2022-11-18T15:55:32	246317056	3.2
